36380275-BT 25_26-42055,07:44:00,07:44:00,15002,1,0,0
36380275-BT 25_26-42055,07:45:00,07:45:00,3845,2,0,0
36380275-BT 25_26-42055,07:45:00,07:45:00,3851,3,0,0
36380275-BT 25_26-42055,07:46:00,07:46:00,4543,4,0,0
36380275-BT 25_26-42055,07:46:00,07:46:00,3846,5,0,0
36380275-BT 25_26-42055,07:47:00,07:47:00,3848,6,0,0
36380275-BT 25_26-42055,07:47:00,07:47:00,3849,7,0,0
36380275-BT 25_26-42055,07:47:00,07:47:00,3857,8,0,0
36380275-BT 25_26-42055,07:48:00,07:48:00,3855,9,0,0
36380275-BT 25_26-42055,07:49:00,07:49:00,3859,10,0,0
36380275-BT 25_26-42055,07:50:00,07:50:00,4125,11,0,0
36380275-BT 25_26-42055,07:50:00,07:50:00,4081,12,0,0
36380275-BT 25_26-42055,07:50:00,07:50:00,4083,13,0,0
36380275-BT 25_26-42055,07:51:00,07:51:00,4087,14,0,0
36380275-BT 25_26-42055,07:52:00,07:52:00,4119,15,0,0
36380275-BT 25_26-42055,07:52:00,07:52:00,4109,16,0,0
36380275-BT 25_26-42055,07:52:00,07:52:00,4111,17,0,0
36380275-BT 25_26-42055,07:53:00,07:53:00,4113,18,0,0
36380275-BT 25_26-42055,07:54:00,07:54:00,4117,19,0,0
36380275-BT 25_26-42055,07:54:00,07:54:00,1504,20,0,0
36380275-BT 25_26-42055,07:55:00,07:55:00,1505,21,0,0
36380275-BT 25_26-42055,07:55:00,07:55:00,1499,22,0,0
36380275-BT 25_26-42055,07:56:00,07:56:00,1490,23,0,0
36380275-BT 25_26-42055,07:56:00,07:56:00,10160,24,0,0
36380275-BT 25_26-42055,07:56:00,07:56:00,1487,25,0,0
36380275-BT 25_26-42055,07:57:00,07:57:00,1486,26,0,0
36380275-BT 25_26-42055,07:58:00,07:58:00,1965,27,0,0
36380275-BT 25_26-42055,07:59:00,07:59:00,2038,28,0,0
36380275-BT 25_26-42055,08:00:00,08:00:00,2036,29,0,0
36380275-BT 25_26-42055,08:00:00,08:00:00,2033,30,0,0
36380275-BT 25_26-42055,08:01:00,08:01:00,2032,31,0,0
36380275-BT 25_26-42055,08:02:00,08:02:00,2028,32,0,0
36380275-BT 25_26-42055,08:03:00,08:03:00,838,33,0,0
36380275-BT 25_26-42055,08:04:00,08:04:00,836,34,0,0
36380275-BT 25_26-42055,08:05:00,08:05:00,10162,35,0,0
36380275-BT 25_26-42055,08:06:00,08:06:00,868,36,0,0
36380275-BT 25_26-42055,08:07:00,08:07:00,864,37,0,0
36380275-BT 25_26-42055,08:07:00,08:07:00,862,38,0,0
36380275-BT 25_26-42055,08:08:00,08:08:00,860,39,0,0
36380275-BT 25_26-42055,08:10:00,08:10:00,888,40,0,0
36380275-BT 25_26-42055,08:12:00,08:12:00,125,41,0,0
36380275-BT 25_26-42055,08:14:00,08:14:00,14,42,0,0
36380275-BT 25_26-42055,08:17:00,08:17:00,23,43,0,0
36380275-BT 25_26-42055,08:18:00,08:18:00,28,44,0,0
36380275-BT 25_26-42055,08:19:00,08:19:00,156,45,0,0
36380275-BT 25_26-42055,08:19:00,08:19:00,158,46,1,0
