service_id,date,exception_type
GCLR 25_26-39426,20260620,2
GCLR 25_26-39427,20260621,2
BT 25_26-42055,20260620,2
BT 25_26-42054,20260621,2
QR 25_26-42729,20260613,2
QR 25_26-42729,20260620,2
SUN 25_26-41816,20260612,2
SUN 25_26-41816-0010000,20260612,2
SUN 25_26-41816-1111000,20260612,2
SUN 25_26-41816-0000100,20260612,2
SUN 25_26-41816-1110100,20260612,2
SUN 25_26-41816-0001000,20260612,2
BT 25_26-42535,20260613,2
BT 25_26-42536,20260614,2
